scheme,dataset,size_bytes,p_sub,p_ins,p_del,replication,success_mean,success_std,success_ci95,byte_accuracy_mean,byte_accuracy_std,byte_accuracy_ci95,chunk_recovery_mean,chunk_recovery_std,chunk_recovery_ci95,effective_bits_per_base_mean,effective_bits_per_base_std,effective_bits_per_base_ci95,overhead_mean,overhead_std,overhead_ci95,trials
s1,random,20971,0.0,0.0,0.0,1,0.0,0.0,0.0,0.9416336846120834,0.02433107620100441,0.023844454676984324,0.9417808219178082,0.024269739298480947,0.023784344512511327,1.4933827421916357,0.038587839296019284,0.037816082510098895,1.2610748176052644,0.0,0.0,4
s1,random,20971,0.0,0.0001,0.0001,1,0.0,0.0,0.0,0.8529993800963235,0.031158286377241808,0.030535120649696972,0.8538812785388128,0.03096954330194185,0.03035015243590301,1.3546282991756788,0.05064005958770838,0.049627258395954214,1.2610748176052644,0.0,0.0,4
s1,random,20971,0.0,0.00025,0.00025,1,0.0,0.0,0.0,0.7112083353202041,0.028817394841862125,0.02824104694502488,0.7100456621004566,0.028515972595426452,0.02794565314351792,1.1279399531120018,0.04570291062759518,0.044788852415043275,1.2610748176052644,0.0,0.0,4
s1,random,20971,0.0,0.0005,0.0005,1,0.0,0.0,0.0,0.5726121787229984,0.0058414000286109435,0.005724572028038725,0.5730593607305936,0.0045662100456621,0.004474885844748858,0.9081335551690237,0.009264160931709897,0.009078877713075698,1.2610748176052644,0.0,0.0,4
s1,random,20971,0.0,0.00075,0.00075,1,0.0,0.0,0.0,0.42904487148919934,0.022473722708232075,0.022024248254067434,0.4292237442922374,0.022369769340485644,0.021922373953675932,0.6804431672086515,0.03564217189097289,0.034929328453153434,1.2610748176052644,0.0,0.0,4
s1,random,20971,0.0,0.001,0.001,1,0.0,0.0,0.0,0.30887892804348865,0.012225977658688554,0.011981458105514783,0.3127853881278539,0.01559657650830989,0.015284644978143691,0.49531120018150193,0.023708458224340923,0.023234289059854103,1.2610748176052644,0.0,0.0,4
s1,random,20971,0.0002,0.0,0.0,1,0.0,0.0,0.0,0.8312550665204329,0.007581486432028722,0.0074298567033881475,0.839041095890411,0.010124912249353156,0.009922414004366093,1.3310330484761401,0.01576761731692993,0.015452264970591333,1.2610748176052644,0.0,0.0,4
s1,random,20971,0.0002,0.0001,0.0001,1,0.0,0.0,0.0,0.7688236135615851,0.014232803857653076,0.013948147780500015,0.771689497716895,0.012365355258197793,0.012118048153033837,1.222944868789231,0.019660381830775977,0.019267174194160457,1.2610748176052644,0.0,0.0,4
s1,random,20971,0.0002,0.00025,0.00025,1,0.0,0.0,0.0,0.6859234180535025,0.017248338035273557,0.016903371274568084,0.6883561643835616,0.016410851333978568,0.016082634307298997,1.0914505029115935,0.025889911477020522,0.02537211324748011,1.2610748176052644,0.0,0.0,4
s1,random,20971,0.0002,0.0005,0.0005,1,0.0,0.0,0.0,0.5234013637880883,0.03182373963315301,0.03118726484048995,0.5273972602739726,0.03605089583661194,0.0353298779198797,0.8355327837858277,0.05893915568086533,0.057760372567248024,1.2610748176052644,0.0,0.0,4
s1,random,20971,0.0002,0.00075,0.00075,1,0.0,0.0,0.0,0.4022221162557818,0.0028062606476487967,0.0027501354346958205,0.4063926940639269,0.0037282948900809404,0.0036537289922793214,0.6451448234137488,0.006257435461419515,0.006132286752191124,1.2610748176052644,0.0,0.0,4
s1,random,20971,0.0002,0.001,0.001,1,0.0,0.0,0.0,0.3037885651614134,0.02077388909275322,0.020358411310898154,0.3082191780821918,0.02059018151973924,0.020178377889344457,0.4890531649398775,0.032946322934593306,0.03228739647590144,1.2610748176052644,0.0,0.0,4
s1,random,20971,0.0005,0.0,0.0,1,0.0,0.0,0.0,0.7825568642410948,0.015635993729946458,0.015323273855347529,0.7853881278538812,0.01667344162877218,0.016339972796196738,1.2447251002041897,0.026510053452567985,0.025979852383516626,1.2610748176052644,0.0,0.0,4
s1,random,20971,0.0005,0.0001,0.0001,1,0.0,0.0,0.0,0.6790448714891995,0.0417666971112089,0.04093136316898472,0.682648401826484,0.038112584552660284,0.03735033286160708,1.082375406488694,0.05990624645822856,0.05870812152906399,1.2610748176052644,0.0,0.0,4
s1,random,20971,0.0005,0.00025,0.00025,1,0.0,0.0,0.0,0.6029993800963236,0.03756675274947714,0.036815417694487595,0.6084474885844748,0.0373527890161584,0.03660573323583523,0.9654011948876957,0.060646063478362586,0.05943314220879533,1.2610748176052644,0.0,0.0,4
s1,random,20971,0.0005,0.0005,0.0005,1,0.0,0.0,0.0,0.44726050259882694,0.035732028661780324,0.03501738808854472,0.4554794520547945,0.03602678958461073,0.03530625379291852,0.720184526960599,0.057281042443231955,0.05613542159436732,1.2610748176052644,0.0,0.0,4
s1,random,20971,0.0005,0.00075,0.00075,1,0.0,0.0,0.0,0.37182299365790855,0.012000720431423554,0.011760706022795083,0.3732876712328767,0.010124912249353173,0.009922414004366109,0.5915072222642366,0.01769196670358321,0.017338127369511545,1.2610748176052644,0.0,0.0,4
s1,random,20971,0.0005,0.001,0.001,1,0.0,0.0,0.0,0.25674741309427307,0.03580923932761193,0.03509305454105969,0.2625570776255708,0.03811258455266032,0.03735033286160711,0.4144483097632912,0.06039004534226398,0.059182244435418696,1.2610748176052644,0.0,0.0,4
s1,random,20971,0.001,0.0,0.0,1,0.0,0.0,0.0,0.5646130370511658,0.055015513168902776,0.05391520290552472,0.5821917808219178,0.054348770384648776,0.0532617949769558,0.9216516675489678,0.0864122021150159,0.08468395807271557,1.2610748176052644,0.0,0.0,4
s1,random,20971,0.001,0.0001,0.0001,1,0.0,0.0,0.0,0.5492227361594583,0.03580748247990899,0.03509133283031081,0.5593607305936072,0.037746108881696334,0.03699118670406241,0.88735536565076,0.05957279967503514,0.058381343681534435,1.2610748176052644,0.0,0.0,4
s1,random,20971,0.001,0.00025,0.00025,1,0.0,0.0,0.0,0.4804372705164275,0.020313556748310126,0.01990728561334392,0.4908675799086758,0.015144405435412784,0.014841517326704528,0.7764501247825758,0.024078951816843278,0.02359737278050641,1.2610748176052644,0.0,0.0,4
