scheme,dataset,size_bytes,trial,p_sub,p_ins,p_del,replication,success,byte_accuracy,chunk_recovery,recovered_bytes,expected_chunks,recovered_chunks,total_bases,effective_bits_per_base,overhead,input_sha256,output_sha256,failures
s3,random,524288,0,0.0,0.0,0.0,3,1,1.0,1.0,524288,512,512,13922304,0.30126507796410706,6.638671875,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,0
s3,random,524288,1,0.0,0.0,0.0,3,1,1.0,1.0,524288,512,512,13922304,0.30126507796410706,6.638671875,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,0
s3,random,524288,2,0.0,0.0,0.0,3,1,1.0,1.0,524288,512,512,13922304,0.30126507796410706,6.638671875,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,0
s3,random,524288,3,0.0,0.0,0.0,3,1,1.0,1.0,524288,512,512,13922304,0.30126507796410706,6.638671875,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,0
s3,random,524288,4,0.0,0.0,0.0,3,1,1.0,1.0,524288,512,512,13922304,0.30126507796410706,6.638671875,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,0
s3,random,524288,5,0.0,0.0,0.0,3,1,1.0,1.0,524288,512,512,13922304,0.30126507796410706,6.638671875,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,0
s3,random,524288,6,0.0,0.0,0.0,3,1,1.0,1.0,524288,512,512,13922304,0.30126507796410706,6.638671875,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,0
s3,random,524288,7,0.0,0.0,0.0,3,1,1.0,1.0,524288,512,512,13922304,0.30126507796410706,6.638671875,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,0
s3,random,524288,8,0.0,0.0,0.0,3,1,1.0,1.0,524288,512,512,13922304,0.30126507796410706,6.638671875,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,0
s3,random,524288,9,0.0,0.0,0.0,3,1,1.0,1.0,524288,512,512,13922304,0.30126507796410706,6.638671875,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,0
s3,random,524288,10,0.0,0.0,0.0,3,1,1.0,1.0,524288,512,512,13922304,0.30126507796410706,6.638671875,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,0
s3,random,524288,11,0.0,0.0,0.0,3,1,1.0,1.0,524288,512,512,13922304,0.30126507796410706,6.638671875,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,0
s3,random,524288,12,0.0,0.0,0.0,3,1,1.0,1.0,524288,512,512,13922304,0.30126507796410706,6.638671875,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,0
s3,random,524288,13,0.0,0.0,0.0,3,1,1.0,1.0,524288,512,512,13922304,0.30126507796410706,6.638671875,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,0
s3,random,524288,14,0.0,0.0,0.0,3,1,1.0,1.0,524288,512,512,13922304,0.30126507796410706,6.638671875,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,0
s3,random,524288,15,0.0,0.0,0.0,3,1,1.0,1.0,524288,512,512,13922304,0.30126507796410706,6.638671875,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,0
s3,random,524288,16,0.0,0.0,0.0,3,1,1.0,1.0,524288,512,512,13922304,0.30126507796410706,6.638671875,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,0
s3,random,524288,17,0.0,0.0,0.0,3,1,1.0,1.0,524288,512,512,13922304,0.30126507796410706,6.638671875,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,0
s3,random,524288,18,0.0,0.0,0.0,3,1,1.0,1.0,524288,512,512,13922304,0.30126507796410706,6.638671875,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,0
s3,random,524288,19,0.0,0.0,0.0,3,1,1.0,1.0,524288,512,512,13922304,0.30126507796410706,6.638671875,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,0
s3,random,524288,20,0.0,0.0,0.0,3,1,1.0,1.0,524288,512,512,13922304,0.30126507796410706,6.638671875,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,0
s3,random,524288,21,0.0,0.0,0.0,3,1,1.0,1.0,524288,512,512,13922304,0.30126507796410706,6.638671875,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,0
s3,random,524288,22,0.0,0.0,0.0,3,1,1.0,1.0,524288,512,512,13922304,0.30126507796410706,6.638671875,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,0
s3,random,524288,23,0.0,0.0,0.0,3,1,1.0,1.0,524288,512,512,13922304,0.30126507796410706,6.638671875,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,0
s3,random,524288,24,0.0,0.0,0.0,3,1,1.0,1.0,524288,512,512,13922304,0.30126507796410706,6.638671875,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,8b8aa33bb1eebe7564afd372f86e5c2e309c22de34af906362ab985b4cd4868b,0
