scheme,dataset,size_bytes,trial,p_sub,p_ins,p_del,replication,success,byte_accuracy,chunk_recovery,recovered_bytes,expected_chunks,recovered_chunks,total_bases,effective_bits_per_base,overhead,input_sha256,output_sha256,failures
s1,random,1048576,14,0.0,0.0,0.0,1,1,1.0,1.0,1048576,1024,1024,4296704,1.9523355576739752,1.0244140625,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,0
s1,random,1048576,15,0.0,0.0,0.0,1,1,1.0,1.0,1048576,1024,1024,4296704,1.9523355576739752,1.0244140625,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,0
s1,random,1048576,16,0.0,0.0,0.0,1,1,1.0,1.0,1048576,1024,1024,4296704,1.9523355576739752,1.0244140625,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,0
s1,random,1048576,17,0.0,0.0,0.0,1,1,1.0,1.0,1048576,1024,1024,4296704,1.9523355576739752,1.0244140625,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,0
s1,random,1048576,18,0.0,0.0,0.0,1,1,1.0,1.0,1048576,1024,1024,4296704,1.9523355576739752,1.0244140625,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,0
s1,random,1048576,19,0.0,0.0,0.0,1,1,1.0,1.0,1048576,1024,1024,4296704,1.9523355576739752,1.0244140625,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,0
s1,random,1048576,20,0.0,0.0,0.0,1,1,1.0,1.0,1048576,1024,1024,4296704,1.9523355576739752,1.0244140625,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,0
s1,random,1048576,21,0.0,0.0,0.0,1,1,1.0,1.0,1048576,1024,1024,4296704,1.9523355576739752,1.0244140625,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,0
s1,random,1048576,22,0.0,0.0,0.0,1,1,1.0,1.0,1048576,1024,1024,4296704,1.9523355576739752,1.0244140625,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,0
s1,random,1048576,23,0.0,0.0,0.0,1,1,1.0,1.0,1048576,1024,1024,4296704,1.9523355576739752,1.0244140625,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,0
s1,random,1048576,24,0.0,0.0,0.0,1,1,1.0,1.0,1048576,1024,1024,4296704,1.9523355576739752,1.0244140625,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,0
s1,random,1048576,25,0.0,0.0,0.0,1,1,1.0,1.0,1048576,1024,1024,4296704,1.9523355576739752,1.0244140625,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,0
s1,random,1048576,26,0.0,0.0,0.0,1,1,1.0,1.0,1048576,1024,1024,4296704,1.9523355576739752,1.0244140625,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,0
s1,random,1048576,27,0.0,0.0,0.0,1,1,1.0,1.0,1048576,1024,1024,4296704,1.9523355576739752,1.0244140625,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,0
s1,random,1048576,28,0.0,0.0,0.0,1,1,1.0,1.0,1048576,1024,1024,4296704,1.9523355576739752,1.0244140625,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,0
s1,random,1048576,29,0.0,0.0,0.0,1,1,1.0,1.0,1048576,1024,1024,4296704,1.9523355576739752,1.0244140625,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,0
s1,random,1048576,30,0.0,0.0,0.0,1,1,1.0,1.0,1048576,1024,1024,4296704,1.9523355576739752,1.0244140625,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,0
s1,random,1048576,31,0.0,0.0,0.0,1,1,1.0,1.0,1048576,1024,1024,4296704,1.9523355576739752,1.0244140625,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,0
s1,random,1048576,32,0.0,0.0,0.0,1,1,1.0,1.0,1048576,1024,1024,4296704,1.9523355576739752,1.0244140625,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,0
s1,random,1048576,33,0.0,0.0,0.0,1,1,1.0,1.0,1048576,1024,1024,4296704,1.9523355576739752,1.0244140625,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,0
s1,random,1048576,34,0.0,0.0,0.0,1,1,1.0,1.0,1048576,1024,1024,4296704,1.9523355576739752,1.0244140625,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,0
s1,random,1048576,35,0.0,0.0,0.0,1,1,1.0,1.0,1048576,1024,1024,4296704,1.9523355576739752,1.0244140625,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,0
s1,random,1048576,36,0.0,0.0,0.0,1,1,1.0,1.0,1048576,1024,1024,4296704,1.9523355576739752,1.0244140625,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,0
s1,random,1048576,37,0.0,0.0,0.0,1,1,1.0,1.0,1048576,1024,1024,4296704,1.9523355576739752,1.0244140625,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,0
s1,random,1048576,38,0.0,0.0,0.0,1,1,1.0,1.0,1048576,1024,1024,4296704,1.9523355576739752,1.0244140625,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,0
s1,random,1048576,39,0.0,0.0,0.0,1,1,1.0,1.0,1048576,1024,1024,4296704,1.9523355576739752,1.0244140625,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,0
s1,random,1048576,40,0.0,0.0,0.0,1,1,1.0,1.0,1048576,1024,1024,4296704,1.9523355576739752,1.0244140625,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,0
s1,random,1048576,41,0.0,0.0,0.0,1,1,1.0,1.0,1048576,1024,1024,4296704,1.9523355576739752,1.0244140625,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,0
s1,random,1048576,42,0.0,0.0,0.0,1,1,1.0,1.0,1048576,1024,1024,4296704,1.9523355576739752,1.0244140625,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,0
s1,random,1048576,43,0.0,0.0,0.0,1,1,1.0,1.0,1048576,1024,1024,4296704,1.9523355576739752,1.0244140625,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,0
s1,random,1048576,44,0.0,0.0,0.0,1,1,1.0,1.0,1048576,1024,1024,4296704,1.9523355576739752,1.0244140625,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,0
s1,random,1048576,45,0.0,0.0,0.0,1,1,1.0,1.0,1048576,1024,1024,4296704,1.9523355576739752,1.0244140625,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,0
s1,random,1048576,46,0.0,0.0,0.0,1,1,1.0,1.0,1048576,1024,1024,4296704,1.9523355576739752,1.0244140625,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,0
s1,random,1048576,47,0.0,0.0,0.0,1,1,1.0,1.0,1048576,1024,1024,4296704,1.9523355576739752,1.0244140625,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,0
s1,random,1048576,48,0.0,0.0,0.0,1,1,1.0,1.0,1048576,1024,1024,4296704,1.9523355576739752,1.0244140625,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,0
s1,random,1048576,49,0.0,0.0,0.0,1,1,1.0,1.0,1048576,1024,1024,4296704,1.9523355576739752,1.0244140625,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,0
s1,random,1048576,0,0.0,0.00125,0.00125,1,0,0.0,0.0,0,1024,0,4296704,0.0,1.0244140625,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1024
s1,random,1048576,1,0.0,0.00125,0.00125,1,0,0.0,0.0,0,1024,0,4296704,0.0,1.0244140625,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1024
s1,random,1048576,2,0.0,0.00125,0.00125,1,0,0.0,0.0,0,1024,0,4296704,0.0,1.0244140625,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1024
s1,random,1048576,3,0.0,0.00125,0.00125,1,0,0.0,0.0,0,1024,0,4296704,0.0,1.0244140625,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1024
s1,random,1048576,4,0.0,0.00125,0.00125,1,0,0.0,0.0,0,1024,0,4296704,0.0,1.0244140625,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1024
s1,random,1048576,5,0.0,0.00125,0.00125,1,0,0.0,0.0,0,1024,0,4296704,0.0,1.0244140625,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1024
s1,random,1048576,6,0.0,0.00125,0.00125,1,0,0.0,0.0,0,1024,0,4296704,0.0,1.0244140625,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1024
s1,random,1048576,7,0.0,0.00125,0.00125,1,0,0.0,0.0,0,1024,0,4296704,0.0,1.0244140625,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1024
s1,random,1048576,8,0.0,0.00125,0.00125,1,0,0.0,0.0,0,1024,0,4296704,0.0,1.0244140625,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1024
s1,random,1048576,9,0.0,0.00125,0.00125,1,0,0.0,0.0,0,1024,0,4296704,0.0,1.0244140625,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1024
s1,random,1048576,10,0.0,0.00125,0.00125,1,0,0.0,0.0,0,1024,0,4296704,0.0,1.0244140625,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1024
s1,random,1048576,11,0.0,0.00125,0.00125,1,0,0.0,0.0,0,1024,0,4296704,0.0,1.0244140625,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1024
s1,random,1048576,12,0.0,0.00125,0.00125,1,0,0.0,0.0,0,1024,0,4296704,0.0,1.0244140625,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1024
s1,random,1048576,13,0.0,0.00125,0.00125,1,0,0.0,0.0,0,1024,0,4296704,0.0,1.0244140625,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1024
s1,random,1048576,14,0.0,0.00125,0.00125,1,0,0.0,0.0,0,1024,0,4296704,0.0,1.0244140625,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1024
s1,random,1048576,15,0.0,0.00125,0.00125,1,0,0.0,0.0,0,1024,0,4296704,0.0,1.0244140625,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1024
s1,random,1048576,16,0.0,0.00125,0.00125,1,0,0.0,0.0,0,1024,0,4296704,0.0,1.0244140625,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1024
s1,random,1048576,17,0.0,0.00125,0.00125,1,0,0.0,0.0,0,1024,0,4296704,0.0,1.0244140625,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1024
s1,random,1048576,18,0.0,0.00125,0.00125,1,0,0.0,0.0,0,1024,0,4296704,0.0,1.0244140625,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1024
s1,random,1048576,19,0.0,0.00125,0.00125,1,0,0.0,0.0,0,1024,0,4296704,0.0,1.0244140625,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1024
s1,random,1048576,20,0.0,0.00125,0.00125,1,0,0.0,0.0,0,1024,0,4296704,0.0,1.0244140625,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1024
s1,random,1048576,21,0.0,0.00125,0.00125,1,0,0.0,0.0,0,1024,0,4296704,0.0,1.0244140625,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1024
s1,random,1048576,22,0.0,0.00125,0.00125,1,0,0.0,0.0,0,1024,0,4296704,0.0,1.0244140625,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1024
s1,random,1048576,23,0.0,0.00125,0.00125,1,0,0.0,0.0,0,1024,0,4296704,0.0,1.0244140625,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1024
s1,random,1048576,24,0.0,0.00125,0.00125,1,0,0.0,0.0,0,1024,0,4296704,0.0,1.0244140625,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1024
s1,random,1048576,25,0.0,0.00125,0.00125,1,0,0.0,0.0,0,1024,0,4296704,0.0,1.0244140625,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1024
s1,random,1048576,26,0.0,0.00125,0.00125,1,0,0.0,0.0,0,1024,0,4296704,0.0,1.0244140625,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1024
s1,random,1048576,27,0.0,0.00125,0.00125,1,0,0.0,0.0,0,1024,0,4296704,0.0,1.0244140625,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1024
s1,random,1048576,28,0.0,0.00125,0.00125,1,0,0.0,0.0,0,1024,0,4296704,0.0,1.0244140625,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1024
s1,random,1048576,29,0.0,0.00125,0.00125,1,0,0.0,0.0,0,1024,0,4296704,0.0,1.0244140625,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1024
s1,random,1048576,30,0.0,0.00125,0.00125,1,0,0.0,0.0,0,1024,0,4296704,0.0,1.0244140625,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1024
s1,random,1048576,31,0.0,0.00125,0.00125,1,0,2.86102294921875e-06,0.0009765625,1024,1024,1,4296704,0.0019065776930409914,1.0244140625,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,20b5e65022a3083d748bf3a3d86a36cbcf51a2fc01d7e4d4fdf6883920234d3d,1023
s1,random,1048576,32,0.0,0.00125,0.00125,1,0,0.0,0.0,0,1024,0,4296704,0.0,1.0244140625,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1024
s1,random,1048576,33,0.0,0.00125,0.00125,1,0,0.0,0.0,0,1024,0,4296704,0.0,1.0244140625,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1024
s1,random,1048576,34,0.0,0.00125,0.00125,1,0,0.0,0.0,0,1024,0,4296704,0.0,1.0244140625,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1024
s1,random,1048576,35,0.0,0.00125,0.00125,1,0,0.0,0.0,0,1024,0,4296704,0.0,1.0244140625,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1024
s1,random,1048576,36,0.0,0.00125,0.00125,1,0,0.0,0.0,0,1024,0,4296704,0.0,1.0244140625,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1024
s1,random,1048576,37,0.0,0.00125,0.00125,1,0,0.0,0.0,0,1024,0,4296704,0.0,1.0244140625,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1024
s1,random,1048576,38,0.0,0.00125,0.00125,1,0,0.0,0.0,0,1024,0,4296704,0.0,1.0244140625,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1024
s1,random,1048576,39,0.0,0.00125,0.00125,1,0,0.0,0.0,0,1024,0,4296704,0.0,1.0244140625,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1024
s1,random,1048576,40,0.0,0.00125,0.00125,1,0,0.0,0.0,0,1024,0,4296704,0.0,1.0244140625,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1024
s1,random,1048576,41,0.0,0.00125,0.00125,1,0,0.0,0.0,0,1024,0,4296704,0.0,1.0244140625,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1024
s1,random,1048576,42,0.0,0.00125,0.00125,1,0,0.0,0.0,0,1024,0,4296704,0.0,1.0244140625,4b1af51985fea8c2b36bc31d2d2061084b9fab31814d03b018329188dd857b7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1024
